Tag	p.value	HR	Low 95%CI	High 95%CI
FGFBP2	0.376846460991005	0.922174505450887	0.770502050858119	1.10370351066098
GZMB	0.303619493232124	0.906862490654661	0.752741895048645	1.09253860103433
GZMH	0.040351217315816	0.82005980858657	0.67839150541886	0.99131266280202
S100A4	0.420872663022031	1.07364150722091	0.90305964086645	1.27644513591772
FCGR3A	0.15666783915241	1.1416322499645	0.950433355485526	1.37129466957019
HSPA6	0.00237646811187035	1.27695946000794	1.09066527860886	1.49507414830664
MT2A	0.342868467140811	0.918783102265908	0.771255017417601	1.09453082306794
HSPA1B	0.0546462152911668	1.18962862087552	0.996546540844004	1.42012058403976
GNLY	0.710859781765126	1.03313952023303	0.869556911727216	1.22749558294832
LGALS1	0.00815559945108583	1.23236211362773	1.05563745933167	1.4386723071257
HSPA1A	0.143219772053872	1.14159396195455	0.95611827327903	1.36304975063557
ARL4C	0.230189327846113	1.11353624865534	0.934143921425448	1.32737894946348
LAIR2	0.558166961305953	1.04686012206913	0.8980878697871	1.22027716000484
S100A6	0.00960667336973195	1.24572957440105	1.05488092136726	1.47110649278408
EMP3	0.0975664440578035	1.1484741194598	0.974984106819813	1.35283518351004
CD52	0.474769167106778	0.939172978069392	0.790694073197156	1.11553369708362
DNAJB1	0.353129424047408	1.09101293623982	0.907774880997606	1.311238338887
SH3BGRL3	0.00173845798064338	1.30382316865875	1.10435213578784	1.53932319234264
IFNG	0.74376382320031	0.96974156143977	0.806573802442651	1.16591772896133
ANXA1	0.925209200535946	0.991500215946199	0.82964393343958	1.18493324497135
MYOM2	0.0610009841766964	0.818945838926964	0.664517513385303	1.00926201881292
GTF3C1	0.000836088831978224	1.36583949031378	1.1375183503659	1.63998893969539
IGFBP7	0.218667815611476	0.898163626476884	0.756891582569841	1.06580376701662
SYNE2	0.631866567738415	0.957716913638162	0.802564436951955	1.1428636062571
HLA-DPB1	0.419467802011934	0.92732755472835	0.772122527547957	1.11373048069116
NA	NA	NA	NA	NA
LYAR	4.28585530841903e-05	1.45402972827485	1.21533320754009	1.73960724317433
SPON2	0.0381395246467965	1.21188879446265	1.01056542869005	1.453319506534
HSP90AA1	0.00027926310733609	1.38515485137686	1.16192635225842	1.6512698576494
C12orf75	0.00798633039641655	1.24006346208313	1.05779355851642	1.45374055042492
DSTN	0.00973681668993732	1.24963073175695	1.0553639790937	1.4796572525551
HOPX	0.940254189875732	0.992683155297387	0.819235428754319	1.20285306546074
CACYBP	3.97287168728978e-05	1.46549139227803	1.22126924105589	1.75855163516946
SYNE1	0.274628828412687	0.907432344166319	0.76230691795486	1.08018626073644
PRF1	0.191729602344817	0.882675371102284	0.73186350385931	1.06456437114581
CYBA	0.231061565456809	1.11109417501561	0.93514266458965	1.32015179341148
HLA-DPA1	0.763126904725402	0.972319125540446	0.810075056226521	1.16705788509969
KLF2	0.00834136450460269	0.778373361383857	0.64616195498903	0.937636586360597
HSPA8	0.000236319648844135	1.49516881309475	1.20660620858977	1.85274181728598
HLA-DRB1	0.330000666083761	0.912320668336647	0.75851169938703	1.09731860767191
PPP2R5C	0.120041836178699	1.15433430763379	0.963267377810827	1.3832999273874
NA.1	NA	NA	NA	NA
NA.2	NA	NA	NA	NA
CAST	0.514361595982723	1.05928503170766	0.890900765497342	1.2594946843193
AHNAK	0.889090636264522	1.01286361528065	0.846320950068	1.21217926021679
CD3E	0.178910971082168	0.884926593239134	0.74043749430214	1.05761131958868
SERPINB9	0.0928232368917887	1.15307858080046	0.976609885755893	1.36143431772831
PLEK	0.150678942733439	1.13603701169452	0.954659222014821	1.3518751635961
JUN	0.263483299026267	1.10063338805544	0.930361559912127	1.30206782728298
CDC42EP3	0.767528929722568	1.02741052457805	0.858772465187464	1.22916421846772
TXNIP	0.0713385495435704	0.857195755322186	0.725014885110469	1.01347514103854
MTSS1	0.717957047432436	0.968660303070523	0.814952968268698	1.1513582001401
ZEB2	0.489497725974281	1.06257753902253	0.894545776721985	1.26217244082533
FTL	0.00695006188310574	1.27279395647066	1.06829480907278	1.51643950889766
NKG7	0.149112272640492	0.873248735237004	0.72639053136527	1.04979803654622
TOB1	0.915174318293312	0.991385065533109	0.845470497674147	1.16248213375375
FLNA	0.0572401235519311	1.1860473663333	0.994765109953259	1.41411107115755
BPGM	0.0346808068010076	1.20619402435606	1.01359231981241	1.43539369424339
TMBIM1	0.00972203552903069	1.25985942324932	1.05748388679634	1.50096449333019
S100A10	0.000198809957934207	1.4095939068961	1.17639076708098	1.6890263320316
IL32	0.357777919556338	0.920428953081718	0.771334146459778	1.09834299642961
EFHD2	0.213476703750938	1.12771246070671	0.933173026857885	1.36280770814313
CD99	0.0414235375202615	1.20253128576983	1.00719771385123	1.43574739434807
CAPN2	0.110596368820095	1.14925370827902	0.968723640289053	1.36342712313594
KLF3	0.145325447789038	1.13695417935824	0.95657331385492	1.35134943368932
CST7	0.0812729046290131	0.846713263927433	0.702253231857796	1.02089007040102
CEP78	0.00236542286462195	1.2920647057031	1.09531136713263	1.52416130592525
C1orf21	0.0540248332359853	1.19632458807328	0.996904103302838	1.43563710419791
RAB29	0.00119250007635467	1.32856436419202	1.11882071306352	1.57762834490957
NA.3	NA	NA	NA	NA
SH3BP5	0.719127915330975	1.03352971015392	0.863500114975193	1.23703939726926
BIN2	0.70245807665259	0.965176767881316	0.804690209422287	1.15767059465857
B2M	0.314129662649685	0.913694867851458	0.766436622251427	1.08924637380418
NA.4	NA	NA	NA	NA
ARPC2	0.000121674593911213	1.41345041024899	1.18476090857063	1.68628290128458
HLA-C	0.773021135324849	0.975147484701049	0.821861671028621	1.1570227088564
CCL5	0.18354245551538	0.885731301392335	0.740694146598502	1.05916854057632
HLA-E	0.341619583793256	0.918313206982376	0.770396601614826	1.09462988848941
MALAT1	0.987945714188454	1.00139657094364	0.83556187692449	1.2001446212323
CEBPB	0.707564484896235	0.967991246530834	0.816681780413581	1.14733434225238
SERPINB1	0.02184064675351	1.22333432239849	1.02972025834071	1.45335284242121
MT1X	0.187120281867711	0.891540739668662	0.751729956908512	1.05735428418703
CD48	0.2846613323229	0.90591608291017	0.755922620338758	1.08567190238007
TTC38	0.401587153086276	0.934555909452074	0.797847610785315	1.09468868000008
ADRB2	0.0950443394373551	0.858624343288631	0.717931794906209	1.02688830348313
LRRFIP1	0.101075895116876	1.15840473388938	0.971683934962175	1.38100618854995
HSPB1	0.0355256287404169	1.19460170655653	1.01211281256073	1.40999424135058
TNF	0.846480640745832	0.983168240003409	0.827938120844481	1.16750245436877
CLEC2D	0.859662133453468	0.984285629717288	0.825782326697125	1.17321256406992
PLAC8	0.17036583616641	1.13435299826944	0.947289092859542	1.35835695183462
PIM1	0.800986295328472	1.02284129505307	0.858113399181293	1.21919121163241
ZFAND2A	0.157901427425806	1.13241931654982	0.952905427690565	1.34575108004483
PSMB9	0.316211102231196	1.09252440598931	0.918921487545107	1.29892443898663
MBP	0.222192093407812	1.121434041401	0.932949206165729	1.34799869157032
NA.5	NA	NA	NA	NA
DHRS7	0.260853012478994	1.09684422642832	0.933611241435505	1.2886169356737
TECR	0.187271872663279	1.13671649540289	0.939586420486427	1.37520547631169
GLRX	0.277794764065125	1.10233850520581	0.924478050265819	1.3144175567067
MYO1G	0.85296490277937	1.01723794568635	0.849039614981549	1.21875707550662
NA.6	NA	NA	NA	NA
IER3	0.00246228233227298	1.30651605802295	1.09889060896645	1.55337045921006
BIN1	0.0701121553739966	1.17568082274792	0.986793143229908	1.40072456569065
DOK2	0.40258127933497	1.07954439954269	0.902411502897957	1.29144642642677
PTP4A2	1.2099684405294e-05	1.46844458885122	1.23628938328549	1.74419479749628
PRNP	0.0159143857989254	1.26400292366183	1.04479260665886	1.52920625667036
YWHAQ	0.000119148499072295	1.43068523056438	1.19210816762718	1.71700881223656
ARL6IP5	0.146886009305373	1.13734960866064	0.955816139122908	1.35336083936346
OASL	0.335500772095284	0.915980599921605	0.76616463216508	1.09509160852516
MRPL18	0.00443657572920235	1.30245908531281	1.0857015536219	1.56249170248923
PRDM1	0.705634098525938	1.03515247703438	0.865264982055682	1.23839595145139
ARRB2	0.00936268594409406	1.24820336315049	1.05599284366112	1.47539980515264
SORL1	0.284338766466965	0.91521143366028	0.778179311926544	1.07637398664432
UBE2F	0.000307618540379622	1.36356725140407	1.15221298946662	1.61369092875994
NDUFB7	0.85243434455398	0.983326445647528	0.823674959695411	1.17392290165937
BIRC3	0.594551812470257	1.04835965776512	0.881014650850069	1.2474911410031
PDE4D	0.070516148223314	1.16639982587498	0.987198953658814	1.37813006057074
CHORDC1	1.16016751690067e-06	1.56464321328582	1.30631532930055	1.87405623280268
GIMAP4	0.997338764782679	1.00032134226041	0.828218075210164	1.20818757490623
GNG2	0.477652834501068	1.06532114455103	0.894600193270501	1.2686216139508
PRKCB	0.751477847261503	1.02909232311531	0.861739403879028	1.2289457865426
HSPH1	0.00097384784200655	1.37165854603439	1.13679367343863	1.65504718302846
ADD3	0.0240698241130353	1.22080199312963	1.02652648506735	1.45184515753775
CD300A	0.0405016838397801	1.20144240519278	1.00797163553516	1.43204808757246
PHLDA1	0.786036998103211	0.976850226359279	0.824869501146248	1.15683312743671
CARD16	0.697390423608852	1.03508955465668	0.869925671618051	1.23161141361257
CCL4	0.849756045045673	1.01742713312585	0.850881522012443	1.21657121989488
VMP1	0.00681298271377727	1.27397232089447	1.06902550638522	1.5182102435453
SLC20A1	0.0524966576281177	1.1847394318016	0.998172230503765	1.40617768995357
FKBP4	0.000845000891000871	1.32394478483915	1.12280329296307	1.56111921321238
MYO1F	0.726837624042955	1.03295151880518	0.861159702787809	1.23901389805838
EBP	0.374589126752969	1.0857267455353	0.90546438936649	1.30187623037879
NA.7	NA	NA	NA	NA
CDKN2D	0.000213565639677219	1.35166582486568	1.15236552030118	1.58543489016603
SOD1	0.276268216030818	0.910863288682796	0.769946179951849	1.07757133196235
BHLHE40	0.407283873859926	1.07567461180575	0.905212653014006	1.27823651893379
UCP2	0.509296703826259	1.06096494824416	0.889959867917576	1.26482851865742
SAT1	0.0981665343958262	0.845517173951347	0.693032555172476	1.03155224976229
RRBP1	0.0843643030112591	1.16798369565141	0.979162102287155	1.39321763998119
MXD1	0.116950161571058	1.14694524554269	0.966277032947274	1.36139362876151
PYHIN1	0.0888966332822147	0.842259731559942	0.691121308508405	1.02644998305503
DEDD2	0.0763789611096432	1.17224452523587	0.983293065619248	1.39750525554664
UAP1	0.906931874935278	0.990393180770471	0.842410017702834	1.16437201826185
RGS2	0.00210106128337849	1.28758837921438	1.09602235264798	1.51263688216073
ATF3	0.431448457204456	0.932681221530063	0.784023128975449	1.10952627396538
HLA-DRA	0.465492150959651	0.933102029673694	0.774772058518206	1.12378781372987
KLRC2	0.19763403131092	1.12830295137287	0.939006999788576	1.3557593823724
AHSA1	5.60007104583711e-06	1.52346758863703	1.27033662361319	1.8270381649126
